SubjectId;Female_nCorrectAnswers;Male_nCorrectAnswers;Description
234;376;362;"Maths(3) - Geometry and Measure(71) - Transformations(278) - Rotation(93)"
235;759;809;"Maths(3) - Geometry and Measure(71) - Transformations(278) - Translation and Vectors(95)"
236;73;79;"Maths(3) - Geometry and Measure(71) - Units of Measurement(98) - Area Units(196)"
237;14;25;"Maths(3) - Geometry and Measure(71) - Units of Measurement(98) - Length Units(195) - Weight Units(198) - Time(209)"
238;1375;1431;"Maths(3) - Geometry and Measure(71) - Units of Measurement(98) - Length Units(195)"
240;65;57;"Maths(3) - Geometry and Measure(71) - Units of Measurement(98) - Temperature units(199)"
241;1432;1507;"Maths(3) - Geometry and Measure(71) - Units of Measurement(98) - Time(209)"
242;134;127;"Maths(3) - Geometry and Measure(71) - Units of Measurement(98) - Units of Measurement-Others(1184)"
243;510;597;"Maths(3) - Geometry and Measure(71) - Units of Measurement(98) - Volume and Capacity Units(197)"
244;8;3;"Maths(3) - Geometry and Measure(71) - Units of Measurement(98) - Volume and Surface Area(100) - Volume of Prisms(189) - Length Units(195)"
245;362;376;"Maths(3) - Geometry and Measure(71) - Units of Measurement(98) - Weight Units(198)"
246;10;9;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - 3D Shapes(176) - Isometric Drawings(657) - Surface Area of Non-Prisms(1648)"
247;25;30;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - 3D Shapes(176) - Plans and Elevations(87) - Volume of Prisms(189)"
248;10;10;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - 3D Shapes(176) - Surface Area of Prisms(188) - Isometric Drawings(657)"
249;13;11;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - Perimeter and Area(178) - Compound Area(179) - Volume of Prisms(189)"
250;22;17;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - Pythagoras(271) - 3D Pythagoras(72) - Volume of Non-Prisms(1649)"
251;22;19;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - Surface Area of Non-Prisms(1648)"
252;12;10;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - Surface Area of Prisms(188) - Volume and Surface Area-Others(1186)"
253;337;342;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - Surface Area of Prisms(188)"
254;13;15;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - Volume and Surface Area-Others(1186)"
255;320;304;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - Volume of Non-Prisms(1649)"
256;27;36;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - Volume of Prisms(189) - Volume of Non-Prisms(1649)"
257;1275;1171;"Maths(3) - Geometry and Measure(71) - Volume and Surface Area(100) - Volume of Prisms(189)"
258;67;62;"Maths(3) - Number(32) - Algebra(49) - Basic Arithmetic(144) - Formula(156) - BIDMAS(33) - Substitution into Formula(67)"
259;10;9;"Maths(3) - Number(32) - Algebra(49) - Decimals(36) - Fractions(39) - Percentages(44) - Inequalities(59) - Inequalities on Number Lines(165) - Ordering Decimals(222) - Adding and Subtracting Fractions(230) - Percentages of an Amount(233)"
260;45;43;"Maths(3) - Number(32) - Algebra(49) - Decimals(36) - Negative Numbers(42) - Inequalities(59) - Inequalities on Number Lines(165) - Ordering Negative Numbers(210) - Ordering Decimals(222)"
261;130;79;"Maths(3) - Number(32) - Algebra(49) - Indices, Powers and Roots(40) - Writing and Simplifying Expressions(62) - Laws of Indices(247) - Multiplying Terms(252) - Dividing Terms(253)"
262;89;87;"Maths(3) - Number(32) - Algebra(49) - Indices, Powers and Roots(40) - Writing and Simplifying Expressions(62) - Laws of Indices(247) - Simplifying Expressions by Collecting Like Terms(251) - Multiplying Terms(252)"
263;38;43;"Maths(3) - Number(32) - Algebra(49) - Indices, Powers and Roots(40) - Writing and Simplifying Expressions(62) - Laws of Indices(247) - Simplifying Expressions by Collecting Like Terms(251)"
264;28;25;"Maths(3) - Number(32) - Algebra(49) - Indices, Powers and Roots(40) - Writing and Simplifying Expressions(62) - Writing Expressions(70) - Laws of Indices(247) - Simplifying Expressions by Collecting Like Terms(251)"
265;25;31;"Maths(3) - Number(32) - Algebra(49) - Inequalities(59) - Basic Arithmetic(144) - Inequalities on Number Lines(165) - Mental Addition and Subtraction(203) - Mental Multiplication and Division(204)"
266;14;30;"Maths(3) - Number(32) - Algebra(49) - Other Graphs(158) - Money(331) - Real Life Graphs(58) - Currency Conversions(332)"
267;35;13;"Maths(3) - Number(32) - Algebra(49) - Proportion(45) - Other Graphs(158) - Real Life Graphs(58) - Indirect (Inverse) Proportion(244)"
268;6;10;"Maths(3) - Number(32) - Algebra(49) - Ratio(46) - Co-ordinates(81) - Sharing in a Ratio(241) - Midpoint Between Two Co-ordinates(408)"
269;1;;"Maths(3) - Number(32) - Algebra(49) - Rounding and Estimating(141) - Solving Equations(154) - Trial and Improvement and Iterative Methods(69) - Rounding to Significant Figures(215)"
270;3;1;"Maths(3) - Number(32) - Algebra(49) - Writing and Simplifying Expressions(62) - Basic Arithmetic(144) - Solving Equations(154) - BIDMAS(33) - Linear Equations(64) - Writing Expressions(70)"
271;83;73;"Maths(3) - Number(32) - Basic Arithmetic(144) - BIDMAS(33) - Mental Multiplication and Division(204)"
272;3748;3444;"Maths(3) - Number(32) - Basic Arithmetic(144) - BIDMAS(33)"
273;51;45;"Maths(3) - Number(32) - Basic Arithmetic(144) - Counting(200)"
274;808;874;"Maths(3) - Number(32) - Basic Arithmetic(144) - Mental Addition and Subtraction(203) - Mental Multiplication and Division(204)"
275;4607;4272;"Maths(3) - Number(32) - Basic Arithmetic(144) - Mental Addition and Subtraction(203)"
276;5309;4908;"Maths(3) - Number(32) - Basic Arithmetic(144) - Mental Multiplication and Division(204)"
277;165;136;"Maths(3) - Number(32) - Basic Arithmetic(144) - Place Value(202) - Mental Multiplication and Division(204)"
278;6539;6569;"Maths(3) - Number(32) - Basic Arithmetic(144) - Place Value(202)"
279;144;130;"Maths(3) - Number(32) - Basic Arithmetic(144) - Roman Numerals(1676)"
280;239;224;"Maths(3) - Number(32) - Basic Arithmetic(144) - Systematic Listing Strategies(1636)"
281;327;261;"Maths(3) - Number(32) - Basic Arithmetic(144) - Written Addition(205) - Written Subtraction(206)"
282;572;518;"Maths(3) - Number(32) - Basic Arithmetic(144) - Written Addition(205)"
283;1873;1649;"Maths(3) - Number(32) - Basic Arithmetic(144) - Written Division(208)"
284;2090;1784;"Maths(3) - Number(32) - Basic Arithmetic(144) - Written Multiplication(207)"
285;686;696;"Maths(3) - Number(32) - Basic Arithmetic(144) - Written Subtraction(206)"
286;12;13;"Maths(3) - Number(32) - Calculator Use(35) - Advanced Calculator Use(218)"
287;67;143;"Maths(3) - Number(32) - Calculator Use(35) - Basic Calculator Use(217)"
288;20;23;"Maths(3) - Number(32) - Data and Statistics(101) - Basic Arithmetic(144) - Probability(348) - Combined Events(349) - Systematic Listing Strategies(1636)"
289;13;11;"Maths(3) - Number(32) - Data and Statistics(101) - Fractions(39) - Probability(348) - Probability of Single Events(111) - Adding and Subtracting Fractions(230)"
290;8;6;"Maths(3) - Number(32) - Data and Statistics(101) - Indices, Powers and Roots(40) - Data Processing(338) - Standard Form(47) - Averages (mean, median, mode) from a List of Data(102)"
291;;2;"Maths(3) - Number(32) - Data and Statistics(101) - Indices, Powers and Roots(40) - Data Processing(338) - Standard Form(47) - Interpreting and Comparing Data using Averages and Range(341)"
292;1849;1433;"Maths(3) - Number(32) - Decimals(36) - Adding and Subtracting with Decimals(223)"
293;4;2;"Maths(3) - Number(32) - Decimals(36) - Basic Arithmetic(144) - Place Value(202) - Multiplying and Dividing with Decimals(224)"
294;3;4;"Maths(3) - Number(32) - Decimals(36) - Fractions(39) - Basic Arithmetic(144) - Mental Addition and Subtraction(203) - Mental Multiplication and Division(204) - Ordering Decimals(222) - Ordering Fractions(228)"
295;76;57;"Maths(3) - Number(32) - Decimals(36) - Fractions(39) - Multiplying and Dividing with Decimals(224) - Fractions of an Amount(225) - Multiplying Fractions(231) - Dividing Fractions(232)"
296;39;25;"Maths(3) - Number(32) - Decimals(36) - Fractions, Decimals and Percentage Equivalence(38) - Fractions(39) - Adding and Subtracting with Decimals(223) - Adding and Subtracting Fractions(230) - Converting between Fractions and Decimals(237)"
297;8;4;"Maths(3) - Number(32) - Decimals(36) - Fractions, Decimals and Percentage Equivalence(38) - Percentages(44) - Multiplying and Dividing with Decimals(224) - Percentage Increase and Decrease(234) - Converting between Decimals and Percentages(239)"
298;13;3;"Maths(3) - Number(32) - Decimals(36) - Fractions, Decimals and Percentage Equivalence(38) - Percentages(44) - Multiplying and Dividing with Decimals(224) - Percentages of an Amount(233) - Percentage Increase and Decrease(234) - Converting between Decimals and Percentages(239)"
299;1203;1085;"Maths(3) - Number(32) - Decimals(36) - Multiplying and Dividing with Decimals(224)"
300;50;48;"Maths(3) - Number(32) - Decimals(36) - Negative Numbers(42) - Basic Arithmetic(144) - Place Value(202) - Ordering Negative Numbers(210) - Ordering Decimals(222)"
301;23;20;"Maths(3) - Number(32) - Decimals(36) - Negative Numbers(42) - Ordering Negative Numbers(210) - Ordering Decimals(222)"
302;17;24;"Maths(3) - Number(32) - Decimals(36) - Ordering Decimals(222) - Multiplying and Dividing with Decimals(224)"
303;781;789;"Maths(3) - Number(32) - Decimals(36) - Ordering Decimals(222)"
304;83;82;"Maths(3) - Number(32) - Decimals(36) - Rounding and Estimating(141) - Rounding to Significant Figures(215) - Multiplying and Dividing with Decimals(224)"
305;59;49;"Maths(3) - Number(32) - Decimals(36) - Rounding and Estimating(141) - Rounding to the Nearest Whole (10, 100, etc)(213) - Rounding to Decimal Places(214) - Rounding to Significant Figures(215) - Ordering Decimals(222)"
306;39;27;"Maths(3) - Number(32) - Factors, Multiples and Primes(37) - Basic Arithmetic(144) - Mental Multiplication and Division(204) - Factors and Highest Common Factor(219) - Prime Numbers and Prime Factors(221)"
307;;1;"Maths(3) - Number(32) - Factors, Multiples and Primes(37) - Factors and Highest Common Factor(219) - Multiples and Lowest Common Multiple(220) - Prime Numbers and Prime Factors(221)"
308;109;102;"Maths(3) - Number(32) - Factors, Multiples and Primes(37) - Factors and Highest Common Factor(219) - Multiples and Lowest Common Multiple(220)"
309;161;142;"Maths(3) - Number(32) - Factors, Multiples and Primes(37) - Factors and Highest Common Factor(219) - Prime Numbers and Prime Factors(221)"
310;1754;1522;"Maths(3) - Number(32) - Factors, Multiples and Primes(37) - Factors and Highest Common Factor(219)"
311;87;81;"Maths(3) - Number(32) - Factors, Multiples and Primes(37) - Multiples and Lowest Common Multiple(220) - Prime Numbers and Prime Factors(221)"
312;2206;1804;"Maths(3) - Number(32) - Factors, Multiples and Primes(37) - Multiples and Lowest Common Multiple(220)"
313;2294;2130;"Maths(3) - Number(32) - Factors, Multiples and Primes(37) - Prime Numbers and Prime Factors(221)"
314;14;20;"Maths(3) - Number(32) - Fractions(39) - Adding and Subtracting Fractions(230) - Dividing Fractions(232)"
315;1;1;"Maths(3) - Number(32) - Fractions(39) - Adding and Subtracting Fractions(230) - Multiplying Fractions(231) - Dividing Fractions(232)"
316;11;9;"Maths(3) - Number(32) - Fractions(39) - Adding and Subtracting Fractions(230) - Multiplying Fractions(231)"
317;3551;3594;"Maths(3) - Number(32) - Fractions(39) - Adding and Subtracting Fractions(230)"
318;3;1;"Maths(3) - Number(32) - Fractions(39) - Basic Arithmetic(144) - BIDMAS(33) - Adding and Subtracting Fractions(230) - Multiplying Fractions(231)"
319;12;13;"Maths(3) - Number(32) - Fractions(39) - Basic Arithmetic(144) - Place Value(202) - Simplifying Fractions(227)"
320;1361;1321;"Maths(3) - Number(32) - Fractions(39) - Converting Mixed Number and Improper Fractions(229)"
321;1251;1213;"Maths(3) - Number(32) - Fractions(39) - Dividing Fractions(232)"
322;2143;2243;"Maths(3) - Number(32) - Fractions(39) - Equivalent Fractions(226)"
323;336;398;"Maths(3) - Number(32) - Fractions(39) - Fractions of an Amount(225) - Simplifying Fractions(227)"
324;5594;6017;"Maths(3) - Number(32) - Fractions(39) - Fractions of an Amount(225)"
325;80;72;"Maths(3) - Number(32) - Fractions(39) - Multiplying Fractions(231) - Dividing Fractions(232)"
326;1845;1978;"Maths(3) - Number(32) - Fractions(39) - Multiplying Fractions(231)"
327;63;47;"Maths(3) - Number(32) - Fractions(39) - Negative Numbers(42) - Multiplying and Dividing Negative Numbers(212) - Simplifying Fractions(227)"
328;1979;1962;"Maths(3) - Number(32) - Fractions(39) - Ordering Fractions(228)"
329;1234;1072;"Maths(3) - Number(32) - Fractions(39) - Simplifying Fractions(227)"
330;93;70;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Basic Arithmetic(144) - Place Value(202) - Converting between Fractions and Decimals(237)"
331;800;841;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Converting between Decimals and Percentages(239)"
332;30;40;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Converting between Fractions and Decimals(237) - Converting between Decimals and Percentages(239)"
333;303;290;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Converting between Fractions and Decimals(237) - Converting between Fractions and Percentages(238) - Converting between Decimals and Percentages(239)"
334;265;340;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Converting between Fractions and Decimals(237) - Converting between Fractions and Percentages(238)"
335;2474;2820;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Converting between Fractions and Decimals(237)"
336;89;125;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Converting between Fractions and Percentages(238) - Converting between Decimals and Percentages(239)"
337;866;869;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Converting between Fractions and Percentages(238)"
338;55;47;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Fractions(39) - Adding and Subtracting Fractions(230) - Converting between Fractions and Decimals(237)"
339;48;28;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Fractions(39) - Basic Arithmetic(144) - Place Value(202) - Simplifying Fractions(227) - Converting between Fractions and Decimals(237)"
340;13;4;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Fractions(39) - Negative Numbers(42) - Ordering Negative Numbers(210) - Equivalent Fractions(226) - Converting between Decimals and Percentages(239)"
341;11;5;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Fractions(39) - Ordering Fractions(228) - Converting between Fractions and Decimals(237)"
342;22;15;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Negative Numbers(42) - Ordering Negative Numbers(210) - Converting between Fractions and Decimals(237)"
343;17;25;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Percentages(44) - Percentages of an Amount(233) - Converting between Fractions and Percentages(238)"
344;406;356;"Maths(3) - Number(32) - Fractions, Decimals and Percentage Equivalence(38) - Recurring Decimals to Fractions(1082)"
345;20;18;"Maths(3) - Number(32) - Geometry and Measure(71) - Fractions(39) - Proportion(45) - Units of Measurement(98) - Volume and Capacity Units(197) - Fractions of an Amount(225) - Direct Proportion(243)"
346;14;15;"Maths(3) - Number(32) - Geometry and Measure(71) - Percentages(44) - Units of Measurement(98) - Length Units(195) - Percentages of an Amount(233)"
347;32;16;"Maths(3) - Number(32) - Geometry and Measure(71) - Percentages(44) - Units of Measurement(98) - Time(209) - Percentages of an Amount(233)"
348;84;69;"Maths(3) - Number(32) - Geometry and Measure(71) - Proportion(45) - Units of Measurement(98) - Length Units(195) - Direct Proportion(243)"
349;18;14;"Maths(3) - Number(32) - Geometry and Measure(71) - Proportion(45) - Units of Measurement(98) - Weight Units(198) - Direct Proportion(243)"
350;65;50;"Maths(3) - Number(32) - Geometry and Measure(71) - Ratio(46) - Construction, Loci and Scale Drawing(83) - Construction, Loci and Scale Drawing-Others(1181) - Scale Drawing and Maps(1647)"
351;33;37;"Maths(3) - Number(32) - Geometry and Measure(71) - Ratio(46) - Construction, Loci and Scale Drawing(83) - Similarity and Congruency(272) - Length Scale Factors in Similar Shapes(90) - Construction, Loci and Scale Drawing-Others(1181) - Scale Drawing and Maps(1647)"
352;42;33;"Maths(3) - Number(32) - Geometry and Measure(71) - Ratio(46) - Construction, Loci and Scale Drawing(83) - Similarity and Congruency(272) - Length, Area and Volume Scale Factors(273) - Construction, Loci and Scale Drawing-Others(1181) - Scale Drawing and Maps(1647)"
353;66;69;"Maths(3) - Number(32) - Geometry and Measure(71) - Ratio(46) - Construction, Loci and Scale Drawing(83) - Units of Measurement(98) - Length Units(195) - Construction, Loci and Scale Drawing-Others(1181) - Scale Drawing and Maps(1647)"
354;30;25;"Maths(3) - Number(32) - Geometry and Measure(71) - Ratio(46) - Perimeter and Area(178) - Area of Simple Shapes(75) - Simplifying and Equivalent Ratios(240)"
355;31;48;"Maths(3) - Number(32) - Geometry and Measure(71) - Ratio(46) - Units of Measurement(98) - Weight Units(198) - Simplifying and Equivalent Ratios(240)"
356;20;17;"Maths(3) - Number(32) - Geometry and Measure(71) - Rounding and Estimating(141) - Perimeter and Area(178) - Area of Simple Shapes(75) - Rounding to Significant Figures(215)"
357;13;25;"Maths(3) - Number(32) - Geometry and Measure(71) - Units of Measurement(98) - Basic Arithmetic(144) - Temperature units(199) - Place Value(202)"
358;53;51;"Maths(3) - Number(32) - Geometry and Measure(71) - Units of Measurement(98) - Basic Arithmetic(144) - Weight Units(198) - Place Value(202)"
359;157;148;"Maths(3) - Number(32) - Indices, Powers and Roots(40) - Basic Arithmetic(144) - BIDMAS(33) - Squares, Cubes, etc(245)"
360;29;19;"Maths(3) - Number(32) - Indices, Powers and Roots(40) - Basic Arithmetic(144) - Mental Addition and Subtraction(203) - Squares, Cubes, etc(245)"
361;92;75;"Maths(3) - Number(32) - Indices, Powers and Roots(40) - Basic Arithmetic(144) - Place Value(202) - Squares, Cubes, etc(245)"
362;2188;1949;"Maths(3) - Number(32) - Indices, Powers and Roots(40) - Laws of Indices(247)"
363;838;819;"Maths(3) - Number(32) - Indices, Powers and Roots(40) - Square Roots, Cube Roots, etc(246)"
364;30;23;"Maths(3) - Number(32) - Indices, Powers and Roots(40) - Squares, Cubes, etc(245) - Square Roots, Cube Roots, etc(246) - Laws of Indices(247)"
365;1590;1558;"Maths(3) - Number(32) - Indices, Powers and Roots(40) - Squares, Cubes, etc(245)"
366;1870;2113;"Maths(3) - Number(32) - Indices, Powers and Roots(40) - Standard Form(47)"
367;1153;1091;"Maths(3) - Number(32) - Money(331) - Basic Money(41)"
368;132;159;"Maths(3) - Number(32) - Money(331) - Currency Conversions(332)"
369;319;292;"Maths(3) - Number(32) - Negative Numbers(42) - Adding and Subtracting Negative Numbers(211) - Multiplying and Dividing Negative Numbers(212)"
370;1470;1534;"Maths(3) - Number(32) - Negative Numbers(42) - Adding and Subtracting Negative Numbers(211)"
371;30;29;"Maths(3) - Number(32) - Negative Numbers(42) - Basic Arithmetic(144) - Mental Addition and Subtraction(203) - Adding and Subtracting Negative Numbers(211)"
372;29;21;"Maths(3) - Number(32) - Negative Numbers(42) - Basic Arithmetic(144) - Place Value(202) - Ordering Negative Numbers(210)"
373;676;717;"Maths(3) - Number(32) - Negative Numbers(42) - Multiplying and Dividing Negative Numbers(212)"
374;46;33;"Maths(3) - Number(32) - Negative Numbers(42) - Ordering Negative Numbers(210) - Adding and Subtracting Negative Numbers(211) - Multiplying and Dividing Negative Numbers(212)"
375;2131;1911;"Maths(3) - Number(32) - Negative Numbers(42) - Ordering Negative Numbers(210)"
376;47;33;"Maths(3) - Number(32) - Percentages(44) - Money(331) - Basic Money(41) - Percentage Increase and Decrease(234)"
377;39;26;"Maths(3) - Number(32) - Percentages(44) - Money(331) - Basic Money(41) - Percentages of an Amount(233)"
378;10;7;"Maths(3) - Number(32) - Percentages(44) - Money(331) - Basic Money(41) - Repeated Percentages and Compound Interest(236)"
379;1523;1522;"Maths(3) - Number(32) - Percentages(44) - Percentage Increase and Decrease(234)"
380;28;57;"Maths(3) - Number(32) - Percentages(44) - Percentages of an Amount(233) - Percentage Increase and Decrease(234)"
381;3189;3769;"Maths(3) - Number(32) - Percentages(44) - Percentages of an Amount(233)"
382;279;331;"Maths(3) - Number(32) - Percentages(44) - Repeated Percentages and Compound Interest(236)"
383;226;236;"Maths(3) - Number(32) - Percentages(44) - Reverse Percentages (Original Amount)(235)"
384;11;9;"Maths(3) - Number(32) - Proportion(45) - Direct Proportion(243) - Indirect (Inverse) Proportion(244)"
385;1210;1218;"Maths(3) - Number(32) - Proportion(45) - Direct Proportion(243)"
386;194;165;"Maths(3) - Number(32) - Proportion(45) - Indirect (Inverse) Proportion(244)"
387;18;28;"Maths(3) - Number(32) - Proportion(45) - Ratio(46) - Direct Proportion(243) - Scale Drawing and Maps(1647)"
388;99;83;"Maths(3) - Number(32) - Ratio(46) - Best Value(1059)"
389;588;515;"Maths(3) - Number(32) - Ratio(46) - Find Missing Quantities(242)"
390;149;138;"Maths(3) - Number(32) - Ratio(46) - Scale Drawing and Maps(1647)"
391;1219;1263;"Maths(3) - Number(32) - Ratio(46) - Sharing in a Ratio(241)"
392;36;35;"Maths(3) - Number(32) - Ratio(46) - Simplifying and Equivalent Ratios(240) - Writing Ratios(334)"
393;698;861;"Maths(3) - Number(32) - Ratio(46) - Simplifying and Equivalent Ratios(240)"
394;908;1169;"Maths(3) - Number(32) - Ratio(46) - Writing Ratios(334)"
395;98;102;"Maths(3) - Number(32) - Rounding and Estimating(141) - Basic Arithmetic(144) - Mental Multiplication and Division(204) - Rounding to the Nearest Whole (10, 100, etc)(213) - Estimation(216)"
396;62;63;"Maths(3) - Number(32) - Rounding and Estimating(141) - Basic Arithmetic(144) - Place Value(202) - Rounding to the Nearest Whole (10, 100, etc)(213) - Estimation(216)"
397;177;181;"Maths(3) - Number(32) - Rounding and Estimating(141) - Basic Arithmetic(144) - Place Value(202) - Rounding to the Nearest Whole (10, 100, etc)(213)"
398;1088;884;"Maths(3) - Number(32) - Rounding and Estimating(141) - Estimation(216)"
399;86;76;"Maths(3) - Number(32) - Rounding and Estimating(141) - Rounding to Decimal Places(214) - Rounding to Significant Figures(215)"
400;601;478;"Maths(3) - Number(32) - Rounding and Estimating(141) - Rounding to Decimal Places(214)"
401;88;58;"Maths(3) - Number(32) - Rounding and Estimating(141) - Rounding to Significant Figures(215) - Estimation(216)"
402;553;482;"Maths(3) - Number(32) - Rounding and Estimating(141) - Rounding to Significant Figures(215)"
403;1413;1474;"Maths(3) - Number(32) - Rounding and Estimating(141) - Rounding to the Nearest Whole (10, 100, etc)(213)"
404;42;35;"Maths(3) - Number(32) - Rounding and Estimating(141) - Upper and Lower Bounds(34) - Rounding to Decimal Places(214)"
405;718;634;"Maths(3) - Number(32) - Rounding and Estimating(141) - Upper and Lower Bounds(34)"
406;30;18;"Maths(3) - Number(32) - Surds(48) - Operations with Surds(249) - Rationalising the Denominator(250)"
407;302;225;"Maths(3) - Number(32) - Surds(48) - Operations with Surds(249)"
408;143;136;"Maths(3) - Number(32) - Surds(48) - Rationalising the Denominator(250)"
409;19;15;"Maths(3) - Number(32) - Surds(48) - Simplifying Surds(248) - Operations with Surds(249) - Rationalising the Denominator(250)"
410;154;140;"Maths(3) - Number(32) - Surds(48) - Simplifying Surds(248) - Operations with Surds(249)"
411;357;295;"Maths(3) - Number(32) - Surds(48) - Simplifying Surds(248)"
412;52;55;"Maths(3) - Science(1642) - Geometry and Measure(71) - Physics(692) - Compound Measures(79) - Forces and Motion(698) - Speed, Distance, Time(269) - Speed and Distance-Time graphs(700)"
